QuestID,Type,RoomTarget,Priority,Require,Gem Reward,Cash Reward
42,Upgrade_Restroom_MaleSink,Restroom,12,50,0,1000
43,Upgrade_Restroom_FemaleSink,Restroom,12,50,0,1000
44,Upgrade_Deliver_StaffTable,DeliverRoom,13,25,0,1000
45,Upgrade_Deliver_BakeryGlass,DeliverRoom,13,25,0,1000
46,Upgrade_Deliver_Fridge,DeliverRoom,13,25,0,1000
47,Upgrade_Deliver_Decor,DeliverRoom,13,25,0,1000
48,Upgrade_SmallTable_Table,Table2,15,75,0,1000
49,Upgrade_SmallTable_Chair,Table2,15,75,0,1000
50,Upgrade_SmallTable_Plates,Table2,15,75,0,1000
51,Upgrade_SmallTable_Decor,Table2,15,75,0,1000
52,Upgrade_BigTable_Table,BigTable2,16,75,0,1000
53,Upgrade_BigTable_Chair,BigTable2,16,75,0,1000
54,Upgrade_BigTable_Plates,BigTable2,16,75,0,1000
55,Upgrade_BigTable_Decor,BigTable2,16,75,0,1000
56,Upgrade_BigTable_Table,BigTable4,18,50,0,1000
57,Upgrade_BigTable_Chair,BigTable4,18,50,0,1000
58,Upgrade_BigTable_Plates,BigTable4,18,50,0,1000
59,Upgrade_BigTable_Decor,BigTable4,18,50,0,1000
60,Upgrade_Kitchen_StoveOven,Kitchen,15,75,0,1000
61,Upgrade_Restroom_MaleStall,Restroom,15,75,0,1000
62,Upgrade_Restroom_FemaleStall,Restroom,15,75,0,1000
63,Upgrade_Restroom_MaleSink,Restroom,15,75,0,1000
64,Upgrade_Restroom_FemaleSink,Restroom,15,75,0,1000
65,Upgrade_Deliver_StaffTable,DeliverRoom,16,50,0,1000
66,Upgrade_Deliver_BakeryGlass,DeliverRoom,16,50,0,1000
67,Upgrade_Deliver_Fridge,DeliverRoom,16,50,0,1000
68,Upgrade_Deliver_Decor,DeliverRoom,16,50,0,1000
69,Upgrade_SmallTable_Table,Table1,20,100,0,1000
70,Upgrade_SmallTable_Chair,Table1,20,100,0,1000
71,Upgrade_SmallTable_Plates,Table1,20,100,0,1000
72,Upgrade_SmallTable_Decor,Table1,20,100,0,1000
73,Upgrade_SmallTable_Table,Table2,20,100,0,1000
74,Upgrade_SmallTable_Chair,Table2,20,100,0,1000
75,Upgrade_SmallTable_Plates,Table2,20,100,0,1000
76,Upgrade_SmallTable_Decor,Table2,20,100,0,1000
77,Upgrade_BigTable_Table,BigTable1,22,100,0,1000
78,Upgrade_BigTable_Chair,BigTable1,22,100,0,1000
79,Upgrade_BigTable_Plates,BigTable1,22,100,0,1000
80,Upgrade_BigTable_Decor,BigTable1,22,100,0,1000
81,Upgrade_BigTable_Table,BigTable2,22,100,0,1000
82,Upgrade_BigTable_Chair,BigTable2,22,100,0,1000
83,Upgrade_BigTable_Plates,BigTable2,22,100,0,1000
84,Upgrade_BigTable_Decor,BigTable2,22,100,0,1000
85,Upgrade_BigTable_Table,BigTable3,24,100,0,1000
86,Upgrade_BigTable_Chair,BigTable3,24,100,0,1000
87,Upgrade_BigTable_Plates,BigTable3,24,100,0,1000
88,Upgrade_BigTable_Decor,BigTable3,24,100,0,1000
89,Upgrade_BigTable_Table,BigTable4,25,100,0,1000
90,Upgrade_BigTable_Chair,BigTable4,25,100,0,1000
91,Upgrade_BigTable_Plates,BigTable4,25,100,0,1000
92,Upgrade_BigTable_Decor,BigTable4,25,100,0,1000
93,Upgrade_Kitchen_StoveOven,Kitchen,21,100,0,1000
94,Upgrade_Restroom_MaleStall,Restroom,21,100,0,1000
95,Upgrade_Restroom_FemaleStall,Restroom,21,100,0,1000
96,Upgrade_Restroom_MaleSink,Restroom,21,100,0,1000
97,Upgrade_Restroom_FemaleSink,Restroom,21,100,0,1000
98,Upgrade_Deliver_StaffTable,DeliverRoom,23,100,0,1000
99,Upgrade_Deliver_BakeryGlass,DeliverRoom,23,100,0,1000
100,Upgrade_Deliver_Fridge,DeliverRoom,23,100,0,1000
101,Upgrade_Deliver_Decor,DeliverRoom,23,100,0,1000
